"","Isolate","Genotype","State","isotype","Height.cm.","X.Cankers","canker.cm","DS"
"1","00-60 ","Besc234","Wisconsin","00-60 --Besc234--Wisconsin",37.5,7.25,0.199705081669691,5
"2","00-60 ","Besc400","Wisconsin","00-60 --Besc400--Wisconsin",38.5,0,0,1
"3","00-60 ","CMBF28-1","Wisconsin","00-60 --CMBF28-1--Wisconsin",37.5,2,0.0524969413858303,4
"4","00-60 ","GW11026","Wisconsin","00-60 --GW11026--Wisconsin",37.75,1.75,0.040164320569251,4
"5","00-60 ","GW9823","Wisconsin","00-60 --GW9823--Wisconsin",41.75,2.75,0.0673124502893085,4
"6","02-119A","Besc234","Wisconsin","02-119A--Besc234--Wisconsin",38.4,1.75,0.0417205930321875,1
"7","02-119A","Besc400","Wisconsin","02-119A--Besc400--Wisconsin",36.825,1.25,0.0354542681335318,2
"8","02-119A","CMBF28-1","Wisconsin","02-119A--CMBF28-1--Wisconsin",34.875,0.25,0.00631313131313125,1
"9","02-119A","GW11026","Wisconsin","02-119A--GW11026--Wisconsin",25.675,3.25,0.122051854200291,2
"10","02-119A","GW9823","Wisconsin","02-119A--GW9823--Wisconsin",31.125,1.5,0.0407608695652175,1
"11","02-135","Besc234","Wisconsin","02-135--Besc234--Wisconsin",26.75,7,0.257808857808858,4
"12","02-135","Besc400","Wisconsin","02-135--Besc400--Wisconsin",27.25,4,0.126938711694809,4
"13","02-135","CMBF28-1","Wisconsin","02-135--CMBF28-1--Wisconsin",35.875,4.25,0.112553342816501,4
"14","02-135","GW11026","Wisconsin","02-135--GW11026--Wisconsin",38.375,9.5,0.232049077865548,4
"15","02-135","GW9823","Wisconsin","02-135--GW9823--Wisconsin",36.625,3.75,0.0951337064676618,4
"16","02-135A ","Besc234","Wisconsin","02-135A --Besc234--Wisconsin",31.125,4.5,0.143034021701835,5
"17","02-135A ","Besc400","Wisconsin","02-135A --Besc400--Wisconsin",27.125,1,0.0333064732742413,1
"18","02-135A ","CMBF28-1","Wisconsin","02-135A --CMBF28-1--Wisconsin",30.25,1.75,0.053030303030303,1
"19","02-135A ","GW11026","Wisconsin","02-135A --GW11026--Wisconsin",37.25,10.25,0.293934878680641,4
"20","02-135A ","GW9823","Wisconsin","02-135A --GW9823--Wisconsin",32.125,3.5,0.113955243299506,4
"21","02-149","Besc234","Wisconsin","02-149--Besc234--Wisconsin",29.875,3,0.0929824561403507,4
"22","02-149","Besc400","Wisconsin","02-149--Besc400--Wisconsin",34.625,1.5,0.042579908675799,4
"23","02-149","CMBF28-1","Wisconsin","02-149--CMBF28-1--Wisconsin",23.125,0,0,1
"24","02-149","GW11026","Wisconsin","02-149--GW11026--Wisconsin",41.875,4.5,0.107940368528886,3
"25","02-149","GW9823","Wisconsin","02-149--GW9823--Wisconsin",35.875,0.75,0.0213694827831142,1
"26","02-153","Besc234","Wisconsin","02-153--Besc234--Wisconsin",40.925,9.25,0.22672714177152,4
"27","02-153","Besc400","Wisconsin","02-153--Besc400--Wisconsin",45.875,4,0.0869779268761182,3
"28","02-153","CMBF28-1","Wisconsin","02-153--CMBF28-1--Wisconsin",38.05,4.5,0.11472607141939,1
"29","02-153","GW11026","Wisconsin","02-153--GW11026--Wisconsin",28.85,11.75,0.410676935324158,4
"30","02-153","GW9823","Wisconsin","02-153--GW9823--Wisconsin",38.025,0,0,1
"31","02-179","Besc234","Wisconsin","02-179--Besc234--Wisconsin",35.1,7.5,0.186794607097553,4
"32","02-179","Besc400","Wisconsin","02-179--Besc400--Wisconsin",37.9,2,0.0555753643782337,2
"33","02-179","CMBF28-1","Wisconsin","02-179--CMBF28-1--Wisconsin",37.625,1.5,0.038884423682244,3
"34","02-179","GW11026","Wisconsin","02-179--GW11026--Wisconsin",24.225,0.5,0.019638043896804,1
"35","02-179","GW9823","Wisconsin","02-179--GW9823--Wisconsin",35.7,0.75,0.0187446834366265,1
"36","02-244","Besc234","Wisconsin","02-244--Besc234--Wisconsin",38.075,7.75,0.192373790264336,4
"37","02-244","Besc400","Wisconsin","02-244--Besc400--Wisconsin",33.525,6.75,0.186647895240305,2
"38","02-244","CMBF28-1","Wisconsin","02-244--CMBF28-1--Wisconsin",35.7,4.5,0.131362993874254,4
"39","02-244","GW11026","Wisconsin","02-244--GW11026--Wisconsin",31.125,10.5,0.339545255611809,3
"40","02-244","GW9823","Wisconsin","02-244--GW9823--Wisconsin",30.675,2.75,0.089310520579412,4
"41","11-19C","Besc234","Pennsylvania","11-19C--Besc234--Pennsylvania",38.125,9.25,0.245503140725588,4
"42","11-19C","Besc400","Pennsylvania","11-19C--Besc400--Pennsylvania",35.775,7,0.194124578227261,4
"43","11-19C","CMBF28-1","Pennsylvania","11-19C--CMBF28-1--Pennsylvania",32.525,4.75,0.131484792321598,4
"44","11-19C","GW11026","Pennsylvania","11-19C--GW11026--Pennsylvania",24.125,9.25,0.388152391589735,4
"45","11-19C","GW9823","Pennsylvania","11-19C--GW9823--Pennsylvania",30.275,5.5,0.187981712665001,4
"46","11-20A","Besc234","Pennsylvania","11-20A--Besc234--Pennsylvania",41.2,22.5,0.48484678931061,4
"47","11-20A","Besc400","Pennsylvania","11-20A--Besc400--Pennsylvania",36.95,10.25,0.26636263357229,3
"48","11-20A","CMBF28-1","Pennsylvania","11-20A--CMBF28-1--Pennsylvania",35.15,9.25,0.262252558155204,3
"49","11-20A","GW11026","Pennsylvania","11-20A--GW11026--Pennsylvania",26.5,6.5,0.250686628475945,4
"50","11-20A","GW9823","Pennsylvania","11-20A--GW9823--Pennsylvania",27.825,2,0.0689450440164415,4
"51","ARK05","Besc234","Arkansas","ARK05--Besc234--Arkansas",31.225,0.25,0.008445945945946,1
"52","ARK05","Besc400","Arkansas","ARK05--Besc400--Arkansas",31.025,2,0.0647852391022893,2
"53","ARK05","CMBF28-1","Arkansas","ARK05--CMBF28-1--Arkansas",32.9,0.5,0.015863453815261,1
"54","ARK05","GW11026","Arkansas","ARK05--GW11026--Arkansas",21.275,0.25,0.0113636363636365,1
"55","ARK05","GW9823","Arkansas","ARK05--GW9823--Arkansas",27.05,0,0,1
"56","ARK08","Besc234","Arkansas","ARK08--Besc234--Arkansas",33.1,7.75,0.228711412071626,4
"57","ARK08","Besc400","Arkansas","ARK08--Besc400--Arkansas",31.675,1.25,0.0332446808510638,1
"58","ARK08","CMBF28-1","Arkansas","ARK08--CMBF28-1--Arkansas",38.025,6,0.158772243364137,3
"59","ARK08","GW11026","Arkansas","ARK08--GW11026--Arkansas",24.875,3.25,0.131511109101527,4
"60","ARK08","GW9823","Arkansas","ARK08--GW9823--Arkansas",31.575,5.75,0.186082015635243,4
"61","ARK09","Besc234","Arkansas","ARK09--Besc234--Arkansas",38.7,1,0.0261295218191772,4
"62","ARK09","Besc400","Arkansas","ARK09--Besc400--Arkansas",39.4,0.25,0.00692520775623275,1
"63","ARK09","CMBF28-1","Arkansas","ARK09--CMBF28-1--Arkansas",38.725,0.25,0.0064102564102565,1
"64","ARK09","GW11026","Arkansas","ARK09--GW11026--Arkansas",29.35,1,0.0317460317460318,1
"65","ARK09","GW9823","Arkansas","ARK09--GW9823--Arkansas",39.35,0,0,1
"66","ARK17","Besc234","Arkansas","ARK17--Besc234--Arkansas",29.25,7.75,0.261479128856624,5
"67","ARK17","Besc400","Arkansas","ARK17--Besc400--Arkansas",23.875,2,0.0993148640176733,5
"68","ARK17","CMBF28-1","Arkansas","ARK17--CMBF28-1--Arkansas",29,4,0.131458816097823,5
"69","ARK17","GW11026","Arkansas","ARK17--GW11026--Arkansas",32.5,11,0.338784328489083,5
"70","ARK17","GW9823","Arkansas","ARK17--GW9823--Arkansas",24.875,5.75,0.217056856187291,5
"71","CRP02","Besc234","British Columbia","CRP02--Besc234--British Columbia",44,2.33333333333333,0.0538146724661227,4
"72","CRP02","Besc400","British Columbia","CRP02--Besc400--British Columbia",49,0.25,0.00602409638554225,1
"73","CRP02","CMBF28-1","British Columbia","CRP02--CMBF28-1--British Columbia",44.5,1.25,0.0269277255093473,1
"74","CRP02","GW11026","British Columbia","CRP02--GW11026--British Columbia",46.125,0.75,0.015803783845021,4
"75","CRP02","GW9823","British Columbia","CRP02--GW9823--British Columbia",36.125,0.5,0.01331569664903,4
"76","CRP09","Besc234","British Columbia","CRP09--Besc234--British Columbia",45.8333333333333,0.333333333333333,0.00732600732600733,1
"77","CRP09","Besc400","British Columbia","CRP09--Besc400--British Columbia",47.125,0,0,1
"78","CRP09","CMBF28-1","British Columbia","CRP09--CMBF28-1--British Columbia",53.625,0,0,1
"79","CRP09","GW11026","British Columbia","CRP09--GW11026--British Columbia",49.625,0.75,0.0172413793103448,1
"80","CRP09","GW9823","British Columbia","CRP09--GW9823--British Columbia",39.875,0,0,1
"81","CRP14","Besc234","British Columbia","CRP14--Besc234--British Columbia",52.25,4.5,0.0764676022309613,4
"82","CRP14","Besc400","British Columbia","CRP14--Besc400--British Columbia",45.625,0,0,1
"83","CRP14","CMBF28-1","British Columbia","CRP14--CMBF28-1--British Columbia",45.625,0.5,0.00986460348162475,1
"84","CRP14","GW11026","British Columbia","CRP14--GW11026--British Columbia",41.125,2,0.0535773095854808,4
"85","CRP14","GW9823","British Columbia","CRP14--GW9823--British Columbia",39,0.5,0.0130067567567568,4
"86","DT_T1L2","Besc234","Tennessee","DT_T1L2--Besc234--Tennessee",42.625,0.75,0.0173462970726775,5
"87","DT_T1L2","Besc400","Tennessee","DT_T1L2--Besc400--Tennessee",47.25,0.75,0.0161290322580645,1
"88","DT_T1L2","CMBF28-1","Tennessee","DT_T1L2--CMBF28-1--Tennessee",44.5,1.25,0.028735632183908,1
"89","DT_T1L2","GW11026","Tennessee","DT_T1L2--GW11026--Tennessee",42.75,4.25,0.111243435526223,4
"90","DT_T1L2","GW9823","Tennessee","DT_T1L2--GW9823--Tennessee",37,1.25,0.0301386377335745,4
"91","DT_T1L3","Besc234","Tennessee","DT_T1L3--Besc234--Tennessee",28.875,5,0.182515103634167,5
"92","DT_T1L3","Besc400","Tennessee","DT_T1L3--Besc400--Tennessee",24.625,2,0.0850108225108225,5
"93","DT_T1L3","CMBF28-1","Tennessee","DT_T1L3--CMBF28-1--Tennessee",32.875,1.25,0.0395870286305752,3
"94","DT_T1L3","GW11026","Tennessee","DT_T1L3--GW11026--Tennessee",29.625,8.25,0.277092841446923,5
"95","DT_T1L3","GW9823","Tennessee","DT_T1L3--GW9823--Tennessee",24.625,3.75,0.146676003734827,5
"96","DT_T1L4","Besc234","Tennessee","DT_T1L4--Besc234--Tennessee",43.175,9.25,0.2184254150041,4
"97","DT_T1L4","Besc400","Tennessee","DT_T1L4--Besc400--Tennessee",39.45,1,0.024875859434683,1
"98","DT_T1L4","CMBF28-1","Tennessee","DT_T1L4--CMBF28-1--Tennessee",43.35,2.25,0.0495798950604442,4
"99","DT_T1L4","GW11026","Tennessee","DT_T1L4--GW11026--Tennessee",41.125,4,0.0971551261406335,1
"100","DT_T1L4","GW9823","Tennessee","DT_T1L4--GW9823--Tennessee",39.3,0,0,1
"101","LPH","Besc234","British Columbia","LPH--Besc234--British Columbia",36.825,0.5,0.0134056929269695,1
"102","LPH","Besc400","British Columbia","LPH--Besc400--British Columbia",30.65,1,0.0336700336700338,1
"103","LPH","CMBF28-1","British Columbia","LPH--CMBF28-1--British Columbia",34.975,0,0,1
"104","LPH","GW11026","British Columbia","LPH--GW11026--British Columbia",24.175,0,0,1
"105","LPH","GW9823","British Columbia","LPH--GW9823--British Columbia",23.925,0,0,1
"106","LPH02","Besc234","British Columbia","LPH02--Besc234--British Columbia",33.45,1.25,0.0338377469525013,1
"107","LPH02","Besc400","British Columbia","LPH02--Besc400--British Columbia",33.075,0.5,0.017605633802817,1
"108","LPH02","CMBF28-1","British Columbia","LPH02--CMBF28-1--British Columbia",38.825,0,0,1
"109","LPH02","GW11026","British Columbia","LPH02--GW11026--British Columbia",25.975,0.25,0.009124087591241,1
"110","LPH02","GW9823","British Columbia","LPH02--GW9823--British Columbia",37.675,0,0,1
"111","LPH16","Besc234","British Columbia","LPH16--Besc234--British Columbia",43.125,0.25,0.00769230769230775,1
"112","LPH16","Besc400","British Columbia","LPH16--Besc400--British Columbia",29.5,0.5,0.0167410714285715,4
"113","LPH16","CMBF28-1","British Columbia","LPH16--CMBF28-1--British Columbia",21.25,0,0,1
"114","LPH16","GW11026","British Columbia","LPH16--GW11026--British Columbia",40.875,0,0,1
"115","LPH16","GW9823","British Columbia","LPH16--GW9823--British Columbia",36.375,0,0,1
"116","MN-1","Besc234","Minnesota","MN-1--Besc234--Minnesota",37.9125,5.5,0.152630738530943,5
"117","MN-1","Besc400","Minnesota","MN-1--Besc400--Minnesota",45.175,5.75,0.129613432039518,4
"118","MN-1","CMBF28-1","Minnesota","MN-1--CMBF28-1--Minnesota",38.85,4.5,0.129450833563099,4
"119","MN-1","GW11026","Minnesota","MN-1--GW11026--Minnesota",34.3375,8.25,0.231532000464632,4
"120","MN-1","GW9823","Minnesota","MN-1--GW9823--Minnesota",38.65,7.625,0.204052062035271,4
"121","MN-10","Besc234","Minnesota","MN-10--Besc234--Minnesota",30.325,5.5,0.186960611617672,4
"122","MN-10","Besc400","Minnesota","MN-10--Besc400--Minnesota",34.1,5.75,0.159706748929112,2
"123","MN-10","CMBF28-1","Minnesota","MN-10--CMBF28-1--Minnesota",33.725,2.25,0.0538567850047508,1
"124","MN-10","GW11026","Minnesota","MN-10--GW11026--Minnesota",22.05,2.5,0.113844870725605,2
"125","MN-10","GW9823","Minnesota","MN-10--GW9823--Minnesota",29.1,0.25,0.0087719298245615,1
"126","MN-12","Besc234","Minnesota","MN-12--Besc234--Minnesota",36.775,29.25,0.774460541263668,5
"127","MN-12","Besc400","Minnesota","MN-12--Besc400--Minnesota",29.45,2.25,0.0789009499762802,4
"128","MN-12","CMBF28-1","Minnesota","MN-12--CMBF28-1--Minnesota",30.35,7.5,0.219183098506775,4
"129","MN-12","GW11026","Minnesota","MN-12--GW11026--Minnesota",24.975,2.5,0.121948356807512,4
